product_id,product_name,current_stock,units_sold_last_30_days,estimated_days_to_stockout,risk_level
1,Automated executive standardization,474,33,430.9,Low
2,Virtual client-server Local Area Network,674,37,546.5,Low
3,Multi-layered static standardization,612,26,706.2,Low
4,Cross-platform logistical policy,457,44,311.6,Low
5,Proactive real-time adapter,539,26,621.9,Low
6,Profound intermediate orchestration,727,37,589.5,Low
7,Multi-layered regional neural-net,545,39,419.2,Low
8,Versatile intermediate infrastructure,430,36,358.3,Low
9,Enhanced analyzing benchmark,411,33,373.6,Low
10,Decentralized homogeneous collaboration,646,25,775.2,Low
11,Cross-platform cohesive migration,687,33,624.5,Low
12,Proactive clear-thinking throughput,579,39,445.4,Low
13,Networked radical middleware,505,45,336.7,Low
14,Future-proofed object-oriented contingency,656,41,480.0,Low
15,Multi-tiered asymmetric application,310,52,178.8,Low
16,Reduced analyzing contingency,581,30,581.0,Low
17,Centralized composite frame,302,35,258.9,Low
18,Grass-roots asynchronous model,434,28,465.0,Low
19,Secured bi-directional paradigm,578,31,559.4,Low
20,Streamlined solution-oriented service-desk,803,37,651.1,Low
21,Centralized bandwidth-monitored process improvement,447,49,273.7,Low
22,Persevering zero tolerance project,359,29,371.4,Low
23,Up-sized full-range groupware,267,31,258.4,Low
24,Progressive static standardization,439,50,263.4,Low
25,Organic composite capacity,415,41,303.7,Low
26,Configurable zero-defect functionalities,654,32,613.1,Low
27,Business-focused optimizing flexibility,565,34,498.5,Low
28,Multi-layered upward-trending contingency,492,55,268.4,Low
29,Synergistic real-time archive,617,24,771.2,Low
30,Reactive stable budgetary management,680,56,364.3,Low
31,Innovative modular time-frame,535,29,553.4,Low
32,Upgradable high-level structure,281,34,247.9,Low
33,Optional 6thgeneration leverage,376,47,240.0,Low
34,Operative real-time time-frame,547,32,512.8,Low
35,Configurable heuristic capacity,315,19,497.4,Low
36,Stand-alone background secured line,373,35,319.7,Low
37,Upgradable coherent orchestration,421,42,300.7,Low
38,Integrated bi-directional solution,700,34,617.6,Low
39,Public-key interactive intranet,659,39,506.9,Low
40,Reverse-engineered 5thgeneration circuit,557,29,576.2,Low
41,Adaptive bi-directional utilization,494,23,644.3,Low
42,Decentralized clear-thinking support,743,43,518.4,Low
43,Ameliorated zero administration time-frame,585,25,702.0,Low
44,Mandatory bottom-line structure,326,46,212.6,Low
45,Public-key modular firmware,616,25,739.2,Low
46,Versatile tangible knowledgebase,839,32,786.6,Low
47,Mandatory human-resource array,304,56,162.9,Low
48,Universal 5thgeneration array,620,43,432.6,Low
49,Universal demand-driven service-desk,426,41,311.7,Low
50,Open-architected content-based software,246,36,205.0,Low
51,Re-engineered impactful firmware,274,43,191.2,Low
52,Right-sized optimizing installation,274,31,265.2,Low
53,Inverse hybrid hardware,273,24,341.2,Low
54,Business-focused contextually-based monitoring,477,43,332.8,Low
55,Enhanced zero tolerance core,382,36,318.3,Low
56,Triple-buffered user-facing application,304,42,217.1,Low
57,Synchronized discrete framework,599,47,382.3,Low
58,Face-to-face grid-enabled core,449,43,313.3,Low
59,Vision-oriented didactic info-mediaries,204,41,149.3,Low
60,Networked directional approach,337,30,337.0,Low
61,Persevering motivating approach,277,53,156.8,Low
62,Cross-platform 4thgeneration algorithm,398,41,291.2,Low
63,Quality-focused reciprocal migration,678,30,678.0,Low
64,Profit-focused motivating budgetary management,177,51,104.1,Low
65,Reduced grid-enabled firmware,584,46,380.9,Low
66,Face-to-face clear-thinking knowledge user,539,53,305.1,Low
67,Virtual hybrid collaboration,307,49,188.0,Low
68,Fully-configurable 24hour benchmark,410,32,384.4,Low
69,Total directional capability,396,37,321.1,Low
70,Re-contextualized regional instruction set,475,26,548.1,Low
71,Exclusive homogeneous interface,383,34,337.9,Low
72,Customer-focused 24/7 contingency,475,29,491.4,Low
73,Multi-tiered bifurcated groupware,275,46,179.3,Low
74,Intuitive empowering monitoring,320,36,266.7,Low
75,Devolved needs-based orchestration,420,34,370.6,Low
76,Distributed system-worthy encryption,473,37,383.5,Low
77,Exclusive disintermediate analyzer,777,53,439.8,Low
78,Cross-group encompassing matrices,540,22,736.4,Low
79,Total encompassing project,637,48,398.1,Low
80,Compatible mission-critical strategy,209,37,169.5,Low
81,Mandatory client-server functionalities,610,31,590.3,Low
82,Face-to-face 24/7 superstructure,659,45,439.3,Low
83,Expanded methodical productivity,644,35,552.0,Low
84,Distributed executive open system,407,29,421.0,Low
85,Synchronized leadingedge framework,365,43,254.7,Low
86,Up-sized mission-critical intranet,634,26,731.5,Low
87,Integrated web-enabled synergy,555,32,520.3,Low
88,Reactive mobile neural-net,624,41,456.6,Low
89,Seamless interactive success,450,41,329.3,Low
90,Optional multi-state orchestration,428,43,298.6,Low
91,Compatible didactic pricing structure,750,26,865.4,Low
92,Total scalable success,293,36,244.2,Low
93,Distributed real-time synergy,234,37,189.7,Low
94,Assimilated secondary benchmark,450,28,482.1,Low
95,Sharable tangible array,505,28,541.1,Low
96,Visionary solution-oriented emulation,504,23,657.4,Low
97,Ergonomic dedicated pricing structure,653,33,593.6,Low
98,Upgradable multi-state approach,452,43,315.3,Low
99,Function-based composite matrix,456,42,325.7,Low
100,Persistent intangible framework,496,26,572.3,Low
101,Cloned global knowledgebase,315,42,225.0,Low
102,Organic system-worthy flexibility,654,48,408.8,Low
103,Proactive client-driven budgetary management,457,43,318.8,Low
104,Inverse heuristic groupware,589,33,535.5,Low
105,Multi-lateral bandwidth-monitored toolset,446,35,382.3,Low
106,Networked tangible knowledge user,567,40,425.2,Low
107,Inverse fault-tolerant utilization,406,24,507.5,Low
108,Expanded disintermediate utilization,444,44,302.7,Low
109,Persistent contextually-based hub,510,31,493.5,Low
110,Innovative intermediate encoding,542,44,369.5,Low
111,Reverse-engineered explicit moderator,431,46,281.1,Low
112,Sharable actuating contingency,539,30,539.0,Low
113,Innovative clear-thinking toolset,509,32,477.2,Low
114,Distributed didactic challenge,648,34,571.8,Low
115,Enhanced system-worthy project,444,46,289.6,Low
116,Reverse-engineered motivating structure,728,41,532.7,Low
117,Universal content-based firmware,609,45,406.0,Low
118,Proactive human-resource moderator,317,38,250.3,Low
119,Enterprise-wide eco-centric benchmark,374,42,267.1,Low
120,User-friendly multimedia hierarchy,648,34,571.8,Low
121,Devolved bi-directional Internet solution,414,48,258.8,Low
122,Integrated motivating system engine,811,27,901.1,Low
123,Function-based bandwidth-monitored collaboration,521,35,446.6,Low
124,Re-engineered system-worthy model,266,38,210.0,Low
125,Object-based actuating implementation,467,32,437.8,Low
126,Re-engineered leadingedge product,365,46,238.0,Low
127,Persevering next generation leverage,649,35,556.3,Low
128,Quality-focused secondary benchmark,330,50,198.0,Low
129,Advanced systematic structure,330,31,319.4,Low
130,Pre-emptive mission-critical archive,533,28,571.1,Low
131,Horizontal bi-directional secured line,335,44,228.4,Low
132,Up-sized demand-driven knowledge user,350,30,350.0,Low
133,Total background software,492,38,388.4,Low
134,Synergistic needs-based interface,277,34,244.4,Low
135,Polarized client-server contingency,358,43,249.8,Low
136,Multi-channeled 24hour artificial intelligence,162,32,151.9,Low
137,Fundamental full-range analyzer,723,35,619.7,Low
138,Cross-group next generation Graphic Interface,395,30,395.0,Low
139,Enterprise-wide 3rdgeneration product,618,42,441.4,Low
140,Multi-channeled demand-driven Graphic Interface,534,52,308.1,Low
141,Decentralized intangible Local Area Network,145,54,80.6,Low
142,Centralized 24/7 productivity,603,56,323.0,Low
143,Total attitude-oriented definition,604,42,431.4,Low
144,Customer-focused dedicated pricing structure,564,44,384.5,Low
145,Extended dynamic analyzer,484,26,558.5,Low
146,Vision-oriented hybrid analyzer,357,33,324.5,Low
147,Customizable bandwidth-monitored framework,583,42,416.4,Low
148,Assimilated asynchronous pricing structure,476,39,366.2,Low
149,Profit-focused static workforce,577,39,443.8,Low
150,Switchable systematic definition,414,29,428.3,Low
151,Fundamental even-keeled infrastructure,447,36,372.5,Low
152,Robust contextually-based utilization,554,33,503.6,Low
153,Down-sized responsive structure,371,34,327.4,Low
154,Inverse mobile website,709,42,506.4,Low
155,Re-engineered incremental product,305,39,234.6,Low
156,Triple-buffered incremental protocol,415,34,366.2,Low
157,Managed logistical hub,373,35,319.7,Low
158,Reverse-engineered user-facing database,522,50,313.2,Low
159,Organic intermediate productivity,431,32,404.1,Low
160,Pre-emptive 3rdgeneration model,430,31,416.1,Low
161,Distributed leadingedge alliance,535,43,373.3,Low
162,Reduced context-sensitive throughput,349,33,317.3,Low
163,Customizable asynchronous intranet,315,32,295.3,Low
164,Compatible maximized benchmark,125,31,121.0,Low
165,Decentralized 3rdgeneration product,622,36,518.3,Low
166,Function-based system-worthy projection,463,46,302.0,Low
167,Profit-focused multi-tasking infrastructure,918,40,688.5,Low
168,Focused modular task-force,575,40,431.2,Low
169,Advanced disintermediate functionalities,564,53,319.2,Low
170,Multi-lateral bi-directional infrastructure,388,47,247.7,Low
171,Cross-group clear-thinking access,285,31,275.8,Low
172,Programmable radical archive,420,64,196.9,Low
173,Streamlined bifurcated Internet solution,379,43,264.4,Low
174,Automated systemic architecture,421,48,263.1,Low
175,Exclusive user-facing protocol,349,33,317.3,Low
176,Customer-focused next generation open architecture,449,45,299.3,Low
177,Optional multimedia adapter,467,36,389.2,Low
178,Multi-channeled tangible paradigm,450,46,293.5,Low
179,Inverse holistic forecast,552,29,571.0,Low
180,Synchronized interactive moratorium,244,42,174.3,Low
181,Ameliorated leadingedge success,524,41,383.4,Low
182,Upgradable background algorithm,311,32,291.6,Low
183,Seamless 24/7 approach,477,30,477.0,Low
184,Ameliorated interactive flexibility,320,42,228.6,Low
185,Function-based national framework,326,41,238.5,Low
186,Assimilated heuristic knowledge user,703,37,570.0,Low
187,Integrated 5thgeneration capability,501,43,349.5,Low
188,Stand-alone hybrid framework,542,44,369.5,Low
189,Future-proofed web-enabled functionalities,574,31,555.5,Low
190,Configurable heuristic analyzer,491,36,409.2,Low
191,User-centric didactic moratorium,535,49,327.6,Low
192,Decentralized intangible groupware,172,38,135.8,Low
193,Multi-lateral non-volatile knowledge user,371,39,285.4,Low
194,Horizontal bifurcated methodology,382,51,224.7,Low
195,Multi-channeled motivating contingency,315,44,214.8,Low
196,Customer-focused leadingedge interface,449,34,396.2,Low
197,Optional mission-critical conglomeration,333,47,212.6,Low
198,Face-to-face static policy,422,39,324.6,Low
199,Up-sized encompassing firmware,232,26,267.7,Low
200,Proactive responsive installation,448,30,448.0,Low
