product_id,product_name,category,unit_price,unit_cost
1,Automated executive standardization,Groceries,15.79,12.16
2,Virtual client-server Local Area Network,Sporting Goods,280.62,199.69
3,Multi-layered static standardization,Home & Kitchen,388.25,176.83
4,Cross-platform logistical policy,Electronics,355.24,185.2
5,Proactive real-time adapter,Sporting Goods,221.9,106.95
6,Profound intermediate orchestration,Electronics,282.19,146.38
7,Multi-layered regional neural-net,Apparel,40.58,26.53
8,Versatile intermediate infrastructure,Toys,78.4,48.3
9,Enhanced analyzing benchmark,Groceries,37.92,21.0
10,Decentralized homogeneous collaboration,Sporting Goods,153.83,85.28
11,Cross-platform cohesive migration,Beauty,28.55,17.24
12,Proactive clear-thinking throughput,Apparel,49.52,39.49
13,Networked radical middleware,Toys,48.11,22.17
14,Future-proofed object-oriented contingency,Toys,65.83,44.7
15,Multi-tiered asymmetric application,Home & Kitchen,368.81,288.19
16,Reduced analyzing contingency,Apparel,114.65,66.11
17,Centralized composite frame,Apparel,133.14,80.75
18,Grass-roots asynchronous model,Home & Kitchen,307.15,180.5
19,Secured bi-directional paradigm,Sporting Goods,134.81,70.64
20,Streamlined solution-oriented service-desk,Groceries,38.23,29.22
21,Centralized bandwidth-monitored process improvement,Apparel,94.98,45.72
22,Persevering zero tolerance project,Beauty,38.99,21.05
23,Up-sized full-range groupware,Home & Kitchen,276.26,197.65
24,Progressive static standardization,Beauty,61.51,36.79
25,Organic composite capacity,Apparel,89.99,43.24
26,Configurable zero-defect functionalities,Apparel,77.67,50.51
27,Business-focused optimizing flexibility,Toys,91.82,51.07
28,Multi-layered upward-trending contingency,Apparel,81.11,44.0
29,Synergistic real-time archive,Beauty,45.35,23.16
30,Reactive stable budgetary management,Home & Kitchen,375.61,236.75
31,Innovative modular time-frame,Groceries,38.52,22.35
32,Upgradable high-level structure,Electronics,799.58,486.0
33,Optional 6thgeneration leverage,Home & Kitchen,179.86,115.16
34,Operative real-time time-frame,Home & Kitchen,70.71,51.55
35,Configurable heuristic capacity,Groceries,5.78,3.73
36,Stand-alone background secured line,Beauty,27.83,18.3
37,Upgradable coherent orchestration,Electronics,61.46,44.61
38,Integrated bi-directional solution,Toys,85.57,67.5
39,Public-key interactive intranet,Home & Kitchen,101.13,63.16
40,Reverse-engineered 5thgeneration circuit,Groceries,8.06,4.78
41,Adaptive bi-directional utilization,Groceries,20.7,9.88
42,Decentralized clear-thinking support,Groceries,26.29,15.85
43,Ameliorated zero administration time-frame,Toys,8.83,5.87
44,Mandatory bottom-line structure,Beauty,14.55,11.63
45,Public-key modular firmware,Beauty,76.99,59.23
46,Versatile tangible knowledgebase,Sporting Goods,186.91,133.1
47,Mandatory human-resource array,Sporting Goods,280.56,182.04
48,Universal 5thgeneration array,Beauty,20.82,15.41
49,Universal demand-driven service-desk,Beauty,65.02,32.3
50,Open-architected content-based software,Beauty,15.97,12.64
51,Re-engineered impactful firmware,Electronics,764.02,453.32
52,Right-sized optimizing installation,Electronics,974.94,542.97
53,Inverse hybrid hardware,Sporting Goods,58.73,40.6
54,Business-focused contextually-based monitoring,Electronics,154.88,93.29
55,Enhanced zero tolerance core,Beauty,53.49,28.43
56,Triple-buffered user-facing application,Toys,50.51,26.55
57,Synchronized discrete framework,Electronics,668.75,493.13
58,Face-to-face grid-enabled core,Electronics,848.05,462.35
59,Vision-oriented didactic info-mediaries,Electronics,1024.18,492.31
60,Networked directional approach,Home & Kitchen,260.25,199.67
61,Persevering motivating approach,Toys,83.95,57.01
62,Cross-platform 4thgeneration algorithm,Home & Kitchen,389.89,191.98
63,Quality-focused reciprocal migration,Sporting Goods,296.8,213.95
64,Profit-focused motivating budgetary management,Groceries,16.92,12.41
65,Reduced grid-enabled firmware,Sporting Goods,80.12,38.5
66,Face-to-face clear-thinking knowledge user,Electronics,1042.18,579.36
67,Virtual hybrid collaboration,Sporting Goods,105.81,70.87
68,Fully-configurable 24hour benchmark,Groceries,32.64,15.35
69,Total directional capability,Electronics,281.9,143.0
70,Re-contextualized regional instruction set,Groceries,8.65,5.21
71,Exclusive homogeneous interface,Sporting Goods,135.82,69.89
72,Customer-focused 24/7 contingency,Electronics,500.56,296.78
73,Multi-tiered bifurcated groupware,Groceries,5.1,3.05
74,Intuitive empowering monitoring,Home & Kitchen,384.05,267.46
75,Devolved needs-based orchestration,Toys,35.8,21.04
76,Distributed system-worthy encryption,Groceries,6.4,5.08
77,Exclusive disintermediate analyzer,Electronics,333.97,180.84
78,Cross-group encompassing matrices,Home & Kitchen,43.15,22.37
79,Total encompassing project,Groceries,23.32,17.16
80,Compatible mission-critical strategy,Home & Kitchen,320.66,222.6
81,Mandatory client-server functionalities,Apparel,103.81,75.03
82,Face-to-face 24/7 superstructure,Home & Kitchen,168.72,133.21
83,Expanded methodical productivity,Home & Kitchen,317.13,215.89
84,Distributed executive open system,Electronics,532.99,346.53
85,Synchronized leadingedge framework,Sporting Goods,12.01,6.27
86,Up-sized mission-critical intranet,Sporting Goods,128.18,66.54
87,Integrated web-enabled synergy,Groceries,6.4,3.83
88,Reactive mobile neural-net,Electronics,219.65,157.89
89,Seamless interactive success,Sporting Goods,51.13,27.54
90,Optional multi-state orchestration,Sporting Goods,96.78,74.98
91,Compatible didactic pricing structure,Toys,36.36,19.37
92,Total scalable success,Electronics,717.73,497.07
93,Distributed real-time synergy,Home & Kitchen,374.62,170.67
94,Assimilated secondary benchmark,Groceries,24.33,17.07
95,Sharable tangible array,Electronics,1020.04,707.41
96,Visionary solution-oriented emulation,Toys,97.96,48.39
97,Ergonomic dedicated pricing structure,Apparel,83.76,59.31
98,Upgradable multi-state approach,Home & Kitchen,54.42,26.45
99,Function-based composite matrix,Home & Kitchen,33.83,26.81
100,Persistent intangible framework,Electronics,1019.46,467.1
101,Cloned global knowledgebase,Apparel,98.63,49.84
102,Organic system-worthy flexibility,Home & Kitchen,205.12,134.73
103,Proactive client-driven budgetary management,Apparel,112.17,57.26
104,Inverse heuristic groupware,Home & Kitchen,16.21,7.84
105,Multi-lateral bandwidth-monitored toolset,Sporting Goods,257.72,128.38
106,Networked tangible knowledge user,Sporting Goods,219.04,160.19
107,Inverse fault-tolerant utilization,Beauty,45.49,35.89
108,Expanded disintermediate utilization,Apparel,105.42,67.87
109,Persistent contextually-based hub,Sporting Goods,182.13,83.28
110,Innovative intermediate encoding,Electronics,562.72,356.94
111,Reverse-engineered explicit moderator,Electronics,623.63,408.22
112,Sharable actuating contingency,Toys,5.61,3.75
113,Innovative clear-thinking toolset,Home & Kitchen,267.27,156.97
114,Distributed didactic challenge,Groceries,39.36,19.41
115,Enhanced system-worthy project,Beauty,37.64,19.04
116,Reverse-engineered motivating structure,Sporting Goods,46.78,37.19
117,Universal content-based firmware,Sporting Goods,194.72,129.17
118,Proactive human-resource moderator,Toys,47.07,36.98
119,Enterprise-wide eco-centric benchmark,Sporting Goods,57.9,39.22
120,User-friendly multimedia hierarchy,Toys,49.65,37.56
121,Devolved bi-directional Internet solution,Electronics,217.45,163.92
122,Integrated motivating system engine,Beauty,66.45,36.82
123,Function-based bandwidth-monitored collaboration,Home & Kitchen,201.13,140.12
124,Re-engineered system-worthy model,Home & Kitchen,304.81,211.81
125,Object-based actuating implementation,Apparel,26.68,15.68
126,Re-engineered leadingedge product,Apparel,21.77,13.93
127,Persevering next generation leverage,Apparel,128.93,93.35
128,Quality-focused secondary benchmark,Electronics,550.25,412.14
129,Advanced systematic structure,Apparel,118.57,92.66
130,Pre-emptive mission-critical archive,Home & Kitchen,53.06,24.57
131,Horizontal bi-directional secured line,Beauty,22.76,14.27
132,Up-sized demand-driven knowledge user,Sporting Goods,274.04,170.82
133,Total background software,Toys,16.05,9.93
134,Synergistic needs-based interface,Groceries,22.43,12.27
135,Polarized client-server contingency,Toys,31.38,14.47
136,Multi-channeled 24hour artificial intelligence,Beauty,27.57,19.65
137,Fundamental full-range analyzer,Beauty,8.73,6.96
138,Cross-group next generation Graphic Interface,Toys,69.62,42.7
139,Enterprise-wide 3rdgeneration product,Sporting Goods,23.98,13.24
140,Multi-channeled demand-driven Graphic Interface,Groceries,14.76,9.58
141,Decentralized intangible Local Area Network,Apparel,84.88,60.32
142,Centralized 24/7 productivity,Electronics,1168.43,719.23
143,Total attitude-oriented definition,Beauty,68.92,37.19
144,Customer-focused dedicated pricing structure,Groceries,20.5,13.16
145,Extended dynamic analyzer,Toys,82.32,37.98
146,Vision-oriented hybrid analyzer,Beauty,31.11,18.37
147,Customizable bandwidth-monitored framework,Electronics,88.36,54.73
148,Assimilated asynchronous pricing structure,Beauty,20.52,15.79
149,Profit-focused static workforce,Apparel,17.92,10.9
150,Switchable systematic definition,Sporting Goods,103.36,79.32
151,Fundamental even-keeled infrastructure,Groceries,22.22,17.24
152,Robust contextually-based utilization,Sporting Goods,109.89,56.63
153,Down-sized responsive structure,Groceries,22.04,10.96
154,Inverse mobile website,Toys,53.19,33.3
155,Re-engineered incremental product,Beauty,24.59,17.42
156,Triple-buffered incremental protocol,Sporting Goods,257.19,183.96
157,Managed logistical hub,Home & Kitchen,172.5,94.52
158,Reverse-engineered user-facing database,Sporting Goods,69.07,55.04
159,Organic intermediate productivity,Apparel,87.96,50.99
160,Pre-emptive 3rdgeneration model,Home & Kitchen,241.54,155.33
161,Distributed leadingedge alliance,Toys,62.05,29.53
162,Reduced context-sensitive throughput,Home & Kitchen,292.57,156.82
163,Customizable asynchronous intranet,Beauty,36.38,24.28
164,Compatible maximized benchmark,Groceries,8.79,5.02
165,Decentralized 3rdgeneration product,Beauty,74.92,56.7
166,Function-based system-worthy projection,Beauty,53.61,41.69
167,Profit-focused multi-tasking infrastructure,Apparel,28.38,15.17
168,Focused modular task-force,Sporting Goods,69.07,40.5
169,Advanced disintermediate functionalities,Beauty,35.48,24.24
170,Multi-lateral bi-directional infrastructure,Toys,62.43,34.83
171,Cross-group clear-thinking access,Groceries,39.53,19.44
172,Programmable radical archive,Groceries,11.1,8.1
173,Streamlined bifurcated Internet solution,Toys,72.39,45.38
174,Automated systemic architecture,Groceries,37.33,28.48
175,Exclusive user-facing protocol,Groceries,16.63,11.59
176,Customer-focused next generation open architecture,Sporting Goods,214.93,151.46
177,Optional multimedia adapter,Beauty,16.91,10.27
178,Multi-channeled tangible paradigm,Sporting Goods,131.53,67.33
179,Inverse holistic forecast,Groceries,13.23,10.28
180,Synchronized interactive moratorium,Apparel,62.8,43.33
181,Ameliorated leadingedge success,Home & Kitchen,125.44,95.97
182,Upgradable background algorithm,Beauty,63.5,49.0
183,Seamless 24/7 approach,Toys,58.55,38.45
184,Ameliorated interactive flexibility,Apparel,121.62,86.48
185,Function-based national framework,Home & Kitchen,157.0,78.24
186,Assimilated heuristic knowledge user,Sporting Goods,106.02,66.86
187,Integrated 5thgeneration capability,Sporting Goods,104.22,72.53
188,Stand-alone hybrid framework,Home & Kitchen,109.02,67.82
189,Future-proofed web-enabled functionalities,Sporting Goods,214.6,148.52
190,Configurable heuristic analyzer,Apparel,133.95,69.62
191,User-centric didactic moratorium,Beauty,18.53,14.59
192,Decentralized intangible groupware,Beauty,7.76,4.53
193,Multi-lateral non-volatile knowledge user,Apparel,18.07,14.32
194,Horizontal bifurcated methodology,Sporting Goods,22.41,14.65
195,Multi-channeled motivating contingency,Groceries,20.59,12.73
196,Customer-focused leadingedge interface,Apparel,117.5,89.31
197,Optional mission-critical conglomeration,Sporting Goods,109.06,56.92
198,Face-to-face static policy,Toys,43.37,27.94
199,Up-sized encompassing firmware,Groceries,35.92,18.94
200,Proactive responsive installation,Toys,92.13,64.67
